tumour,n_points,gS_day-1,R_squared
1,11,0.08640841218634944,0.6573301201660902
2,10,0.12295916894760803,0.8750339905317366
3,10,0.11484722438384272,0.9139601898536563
4,10,0.11361931453988589,0.937344937562974
5,11,0.12313814443410948,0.8827557373410249
6,11,0.06043596227775002,0.880580403881638
7,12,0.07563629738910363,0.8719002530541794
8,12,0.0878139251620605,0.8906859077436693
