tumour,start_day,n_points,gR_day-1,R_squared,NRMSE_percent
1,28.0,7,0.11306879057814562,0.9260732994377177,12.72406180705755
2,37.0,6,0.19773771861606126,0.970465965063376,6.535462709396604
3,28.0,7,0.13047189381515115,0.9656607876462872,7.956773983837125
4,28.0,7,0.08371929405057528,0.9778263669844849,5.085018203106481
5,35.0,3,0.25169513663627086,0.7186294446223904,27.17191241461478
6,26.0,3,0.0915154830319795,0.998805302470552,2.0904289706890933
9,28.0,5,0.2706390629664922,0.8613967869050371,22.047772296621535
10,31.0,5,0.25842357484527007,0.7615566622049681,25.077396032263984
12,28.0,3,0.22262862823893112,0.997399948344759,2.572619220397312
