0  4.5     9.05    91.63   1
3  6.29    11.21   221.76  1
5  5.77    11.67   194.26  1
10 6.63    9.79    215.17  1 
12 6.72    11.01   248.60  1
14 6.37    8.58    174.07  1
17 7.92    10.24   321.16  1
19 7.7     9.82    291.11  1 
21 7.85    10.11   311.50  1
24 7.64    10.67   311.40  1
26 6.28    6.88    135.67  1
28 4.88    6.65    79.18   0
31 0	   0	   10.00   0
33 0	   0	   10.00   0 
35 0	   0	   10.00   0
37 6.87    8.9     210.03  0
41 7.32    10.21   273.54  0
43 8.24    11.34   384.98  0
45 9.57    14.12   646.59  0
48 11.57   16.07   1075.60 0
50 12.13   18.12   1333.06 0




