0  5.26    6.71    92.82  1
3  6.5     8.94    188.86 1
5  5.41    8.59    125.71 1
10 5.78    6.43    107.41 1 
12 6.5     7.49    158.23 1
14 6.65    7.53    166.50 1
17 6.89    7.58    179.92 1
19 7.53    7.67    217.45 1 
21 6.71    7.61    171.32 1
24 6.71    7.27    163.66 1
26 6.18    8.15    155.63 1
28 5.6     7.21    113.05 0
31 0	   0	   10.00   0
33 0	   0	   10.00   0 
35 0	   0	   10.00   0
37 7.01    7.64    187.72 0
41 8.4     8.78    309.76 0
43 8.75    9.32    356.78 0
45 9.54    10.87   494.65 0
48 9.87    11.5    560.15 0
50 10.12   12.66   648.28 0





