0    5.43    5.51    81.23    1
3    6.03    6.7     121.81   1
5    4.61    5.91    62.80    1
10   6.45    7.65    159.13   1 
12   6.17    8.15    155.13   1
14   8.04    8.81    284.75   1
17   8.68    9.01    339.42   1
19   6.86    7.96    187.30   1 
21   6.85    7.53    176.66   1
24   7.22    7.72    201.22   1
26   6.08    8.39    155.07   1
28   6.27    7.34    144.28   0
31   0       0       50.00     0
33   0       0       50.00     0 
35   0       0       50.00     0
37   7.89    8.7     270.80   0
41   8.67    9.87    370.96   0
43   8.97    11.8    474.72   0
45   9.76    15.7    747.77   0
48   11.47   16.89   1111.03  0
50   14.68   17.61   1897.50  0


